gene ID,log2FC,p-value
CGI_10019528,3.348395826,2.8752E-198
CGI_10028418,2.546463117,7.6149E-146
CGI_10018396,2.397201691,4.4888E-132
CGI_10021171,2.08621348,1.3269E-129
CGI_10005824,2.86301306,1.5335E-103
CGI_10015342,2.51005237,1.7027E-103
CGI_10009106,2.915603572,6.7736E-100
CGI_10014307,1.940203537,1.4046E-75
CGI_10013879,2.397832424,1.03285E-70
CGI_10024392,1.794872878,4.52819E-67
CGI_10021170,2.768608856,5.62824E-66
CGI_10002879,2.609332742,2.77266E-62
CGI_10021916,1.752035641,1.56088E-61
CGI_10003270,1.609966513,3.97304E-56
CGI_10018786,1.476274805,4.09576E-55
CGI_10027441,1.45935072,2.74538E-54
CGI_10000144,1.918166819,1.00551E-53
CGI_10013924,2.161596217,7.67438E-52
CGI_10006578,1.861488062,1.5962E-50
CGI_10005003,1.945004534,3.71291E-49
CGI_10004027,1.595122197,2.09965E-48
CGI_10028806,1.591836146,6.34375E-48
CGI_10017629,1.448617392,4.50618E-47
CGI_10019612,1.468006402,4.70008E-45
CGI_10016990,1.887035065,1.12262E-44
CGI_10021954,1.722638218,2.27763E-44
CGI_10003300,1.769644358,6.84129E-44
CGI_10004319,2.100822133,1.98513E-42
CGI_10003301,1.540153748,2.53527E-42
CGI_10021010,1.505478358,4.12085E-42
CGI_10018753,1.385068422,1.24113E-40
CGI_10003267,1.359491473,5.06259E-39
CGI_10027512,1.91748098,1.52058E-38
CGI_10002654,1.421818815,1.19672E-37
CGI_10016225,1.941677805,4.15998E-37
CGI_10010438,2.125836629,3.42686E-36
CGI_10010612,1.050776182,1.13694E-34
CGI_10021136,1.596020296,1.86465E-34
CGI_10015430,1.474112362,9.03169E-34
CGI_10004062,1.829124222,2.94896E-33
CGI_10027442,1.063022017,7.8977E-32
CGI_10022973,1.06643583,2.9235E-31
CGI_10009290,1.484167138,1.70015E-30
CGI_10012759,1.405523533,4.17541E-30
CGI_10019718,1.616716505,1.65353E-29
CGI_10001444,1.66688517,2.03307E-29
CGI_10005182,1.135656345,2.25999E-29
CGI_10007066,1.919346845,1.14462E-28
CGI_10002181,1.18718084,1.52949E-28
CGI_10022810,1.596879198,2.78467E-27
CGI_10005949,1.711926717,4.37562E-27
CGI_10017630,1.022456019,6.16479E-26
CGI_10013925,1.681765905,1.38358E-25
CGI_10010046,1.389584799,1.58053E-25
CGI_10026986,1.38636727,7.71193E-25
CGI_10005474,1.392859958,2.20905E-24
CGI_10024628,0.930292318,3.03167E-24
CGI_10023476,1.171292051,3.94025E-24
CGI_10002382,1.289488489,4.40502E-24
CGI_10006248,1.112124982,4.66667E-24
CGI_10022976,1.181558665,5.22463E-24
CGI_10000860,1.758563791,6.68743E-24
CGI_10009732,1.108109443,9.17589E-24
CGI_10015429,1.334833274,1.34596E-23
CGI_10022693,1.291475851,3.26564E-23
CGI_10026006,1.451567193,3.68098E-23
CGI_10006931,1.65180137,3.84099E-22
CGI_10007265,0.810966063,3.9121E-22
CGI_10020678,0.894379526,9.20224E-22
CGI_10012337,1.338826601,3.88273E-21
CGI_10010191,1.023972693,5.32687E-21
CGI_10013774,1.179468138,1.85609E-20
CGI_10014533,1.594727926,2.05181E-20
CGI_10024393,1.16570526,2.07143E-20
CGI_10027982,1.185668555,5.36662E-20
CGI_10010105,1.072043266,8.98521E-20
CGI_10010457,0.877484612,1.13369E-19
CGI_10026933,0.880530732,3.65308E-19
CGI_10016524,1.07571943,3.90763E-19
CGI_10026220,0.748591139,4.67546E-19
CGI_10010459,0.841058959,5.42416E-19
CGI_10009399,1.259998163,5.62465E-19
CGI_10013044,1.107318037,1.01391E-18
CGI_10023414,1.054929731,1.09484E-18
CGI_10014035,1.111868988,1.1976E-18
CGI_10027104,1.033789806,1.3001E-18
CGI_10024808,1.544897,2.13208E-18
CGI_10018436,0.869758112,3.37073E-18
CGI_10003083,1.012057776,5.50411E-18
CGI_10000502,1.513614212,8.09772E-18
CGI_10000338,1.183719544,1.10227E-17
CGI_10010773,1.16136851,1.80289E-17
CGI_10026443,0.985750011,3.20371E-17
CGI_10022144,0.948791393,4.02258E-17
CGI_10014506,0.986741112,5.67567E-17
CGI_10013790,0.96880307,5.855E-17
CGI_10014180,0.855608017,6.47338E-17
CGI_10027484,0.873631621,6.86881E-17
CGI_10006439,0.985575946,1.15706E-16
CGI_10014034,0.92220184,1.58748E-16
CGI_10004435,0.895991262,2.05528E-16
CGI_10028439,0.795205613,5.45423E-16
CGI_10009892,0.724598013,5.81603E-16
CGI_10020677,0.717313715,7.42322E-16
CGI_10023972,1.265749782,8.13916E-16
CGI_10021628,1.230534895,1.32858E-15
CGI_10006204,0.965418211,2.34303E-15
CGI_10006196,0.749672038,2.79937E-15
CGI_10011157,1.01612405,3.98474E-15
CGI_10010458,0.854411263,1.0742E-14
CGI_10008091,1.139727375,1.48047E-14
CGI_10014532,1.268385685,1.48047E-14
CGI_10009891,0.871701842,1.56546E-14
CGI_10005453,0.865112384,3.49963E-14
CGI_10011889,1.197767236,6.24816E-14
CGI_10020230,0.696096952,1.46617E-13
CGI_10028125,0.542053305,1.79397E-13
CGI_10018475,0.988416251,2.60477E-13
CGI_10008477,0.594120422,2.96746E-13
CGI_10022450,0.690764826,2.96746E-13
CGI_10001977,1.296673482,5.09154E-13
CGI_10028419,1.176223641,5.61088E-13
CGI_10018400,1.12725595,6.79102E-13
CGI_10004124,0.896668322,2.05613E-12
CGI_10019977,0.777730729,2.0869E-12
CGI_10005871,1.057423898,3.19667E-12
