gene ID,log2FC,p-value
CGI_10002879,4.480736251,0
CGI_10010438,4.490207158,0
CGI_10018396,3.408368547,0
CGI_10019528,3.87399026,0
CGI_10021170,4.574599183,0
CGI_10005824,4.205310526,2.7783E-295
CGI_10000502,4.377524739,3.5378E-284
CGI_10019612,2.732155727,3.2571E-265
CGI_10001259,6.300946826,1.6057E-231
CGI_10015342,3.343516476,2.4734E-222
CGI_10016990,3.326353467,1.216E-209
CGI_10014307,2.858208678,3.7275E-196
CGI_10003270,2.540345926,4.2215E-185
CGI_10024392,2.499455865,7.6037E-185
CGI_10009106,3.918842129,1.5368E-183
CGI_10013924,3.511793214,1.972E-179
CGI_10004710,4.27673531,1.6649E-175
CGI_10021954,2.78621565,8.5091E-170
CGI_10003301,2.521937785,1.0059E-165
CGI_10004027,2.650729767,2.9973E-164
CGI_10027441,2.661998325,2.9638E-161
CGI_10005873,3.527509429,1.6309E-160
CGI_10000144,3.021060735,8.7818E-157
CGI_10021171,2.040685605,2.1189E-146
CGI_10028806,2.323207411,7.3375E-146
CGI_10021136,2.761488319,1.112E-141
CGI_10005003,3.037342249,1.0279E-139
CGI_10001976,2.616187546,2.8027E-136
CGI_10004319,3.472869351,1.3275E-130
CGI_10022976,2.238012844,6.8835E-129
CGI_10005949,3.281733947,2.1639E-127
CGI_10016989,3.151837496,2.1639E-127
CGI_10006248,1.987521832,5.6374E-126
CGI_10021916,2.250741171,6.5896E-126
CGI_10017629,2.117394775,3.3862E-124
CGI_10008216,3.848736245,5.0508E-123
CGI_10006153,3.620105533,5.0911E-123
CGI_10015430,2.401511389,5.2864E-123
CGI_10011447,2.910390415,1.585E-122
CGI_10003267,2.046829789,2.2334E-120
CGI_10016225,3.154941609,6.4965E-116
CGI_10003083,1.939697215,2.1331E-115
CGI_10027512,3.110348304,5.8939E-113
CGI_10006578,2.567145746,1.6575E-110
CGI_10014608,4.34874649,2.4016E-110
CGI_10005474,2.669364754,3.9006E-109
CGI_10022810,3.003474581,3.8238E-96
CGI_10026443,2.378015895,1.11517E-93
CGI_10013774,2.154282272,2.05972E-93
CGI_10005452,2.200644472,1.43862E-91
CGI_10018786,1.828034515,1.04248E-90
CGI_10001444,2.464412486,1.36985E-90
CGI_10027104,1.821386765,2.57198E-89
CGI_10010105,1.93066763,2.88193E-89
CGI_10023476,1.989540297,1.1435E-87
CGI_10005453,1.927135925,3.28626E-87
CGI_10019718,2.657180331,4.85352E-86
CGI_10002654,2.071587198,8.98038E-86
CGI_10021409,2.859368318,4.89312E-84
CGI_10022973,1.803950833,6.3283E-84
CGI_10026006,2.535749164,5.35746E-82
CGI_10026719,2.514718379,2.87706E-79
CGI_10014034,1.789537533,1.50378E-78
CGI_10014035,2.037841068,3.55135E-77
CGI_10024393,2.115303447,1.61307E-75
CGI_10002015,3.111907407,1.31889E-74
CGI_10011889,2.595048264,2.29694E-73
CGI_10021896,1.656943519,4.52949E-72
CGI_10010459,1.540188512,1.69708E-71
CGI_10027982,2.026536773,4.0031E-71
CGI_10009732,1.956177467,7.11167E-71
CGI_10009290,2.331122386,1.46299E-70
